ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,32733,293,293,0
1,1,365,32733,259,259,0
2,2,730,32733,301,301,0
3,3,1095,32733,297,297,0
4,4,1460,32733,291,291,0
5,5,1825,32733,282,282,0
6,6,2190,32733,305,305,0
7,7,2555,32733,278,278,0
8,8,2920,32733,316,316,0
9,9,3285,32733,299,299,0
10,10,3650,32733,336,336,0
11,11,4015,32733,316,316,0
12,12,4380,32733,282,282,0
13,13,4745,32733,361,361,0
14,14,5110,32733,317,317,0
15,15,5475,32733,332,332,0
16,16,5840,32733,348,348,0
17,17,6205,32733,317,317,0
18,18,6570,32733,380,380,0
19,19,6935,32733,339,339,0
20,20,7300,32733,399,399,0
21,21,7665,32733,402,402,0
22,22,8030,32733,390,390,0
23,23,8395,32733,374,374,0
24,24,8760,32733,392,392,0
25,25,9125,32733,406,406,0
26,26,9490,32733,444,444,0
27,27,9855,32733,425,425,0
28,28,10220,32733,416,416,0
29,29,10585,32733,445,445,0
30,30,10950,32733,411,411,0
31,31,11315,32733,432,432,0
32,32,11680,32733,415,415,0
33,33,12045,32733,422,422,0
34,34,12410,32733,402,402,0
35,35,12775,32733,428,428,0
36,36,13140,32733,453,453,0
37,37,13505,32733,466,466,0
38,38,13870,32733,446,446,0
39,39,14235,32733,432,432,0
40,40,14600,32733,428,428,0
41,41,14965,32733,436,436,0
42,42,15330,32733,395,395,0
43,43,15695,32733,451,451,0
44,44,16060,32733,425,425,0
45,45,16425,32733,451,451,0
46,46,16790,32733,457,457,0
47,47,17155,32733,432,432,0
48,48,17520,32733,463,463,0
49,49,17885,32733,408,408,0
50,50,18250,32733,426,426,0
51,51,18615,32733,436,436,0
52,52,18980,32733,467,467,0
53,53,19345,32733,434,434,0
54,54,19710,32733,473,473,0
55,55,20075,32733,431,431,0
56,56,20440,32733,454,454,0
57,57,20805,32733,440,440,0
58,58,21170,32733,447,447,0
59,59,21535,32733,488,488,0
60,60,21900,32733,477,477,0
61,61,22265,32733,475,475,0
62,62,22630,32733,455,455,0
63,63,22995,32733,490,490,0
64,64,23360,32733,473,473,0
65,65,23725,32733,461,461,0
66,66,24090,32733,507,507,0
67,67,24455,32733,471,471,0
68,68,24820,32733,490,490,0
69,69,25185,32733,455,455,0
70,70,25550,32733,535,535,0
71,71,25915,32733,442,442,0
72,72,26280,32733,454,454,0
73,73,26645,32733,453,453,0
74,74,27010,32733,471,471,0
75,75,27375,32733,459,459,0
76,76,27740,32733,443,443,0
77,77,28105,32733,416,416,0
78,78,28470,32733,490,490,0
79,79,28835,32733,424,424,0
80,80,29200,32733,480,480,0
81,81,29565,32733,454,454,0
82,82,29930,32733,426,426,0
83,83,30295,32733,424,424,0
84,84,30660,32733,417,417,0
85,85,31025,32733,418,418,0
86,86,31390,32733,392,392,0
87,87,31755,32733,358,358,0
88,88,32120,32733,385,385,0
89,89,32485,32733,388,388,0
90,90,32850,32733,364,364,0
91,91,33215,32733,387,387,0
92,92,33580,32733,354,354,0
93,93,33945,32733,349,349,0
94,94,34310,32733,376,376,0
95,95,34675,32733,363,363,0
96,96,35040,32733,387,387,0
97,97,35405,32733,358,358,0
98,98,35770,32733,372,372,0
99,99,36135,32733,379,379,0
100,100,36500,32709,344,368,0
101,101,36865,32650,341,400,0
102,102,37230,32673,378,355,0
103,103,37595,32651,354,376,0
104,104,37960,32614,366,403,0
105,105,38325,32596,372,390,0
106,106,38690,32546,355,405,0
107,107,39055,32475,361,432,0
108,108,39420,32463,379,391,0
109,109,39785,32472,354,345,0
110,110,40150,32414,350,408,0
111,111,40515,32341,333,406,0
112,112,40880,32310,359,390,0
113,113,41245,32220,354,444,0
114,114,41610,32077,297,440,0
115,115,41975,31988,328,417,0
116,116,42340,31835,290,443,0
117,117,42705,31737,333,431,0
118,118,43070,31640,335,432,0
119,119,43435,31541,317,416,0
120,120,43800,31374,291,458,0
