ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16289,56,134,0
1,1,365,16188,64,165,0
2,2,730,16120,70,138,0
3,3,1095,16025,60,155,0
4,4,1460,15945,75,155,0
5,5,1825,15872,72,145,0
6,6,2190,15783,71,160,0
7,7,2555,15657,62,188,0
8,8,2920,15594,79,142,0
9,9,3285,15503,68,159,0
10,10,3650,15432,80,151,0
11,11,4015,15372,91,151,0
12,12,4380,15281,84,175,0
13,13,4745,15192,76,165,0
14,14,5110,15126,99,165,0
15,15,5475,15046,93,173,0
16,16,5840,14963,106,189,0
17,17,6205,14867,85,181,0
18,18,6570,14784,87,170,0
19,19,6935,14688,95,191,0
20,20,7300,14612,106,182,0
