ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16278,64,153,0
1,1,365,16212,66,132,0
2,2,730,16118,77,171,0
3,3,1095,16062,82,138,0
4,4,1460,16025,90,127,0
5,5,1825,15968,89,146,0
6,6,2190,15865,72,175,0
7,7,2555,15800,86,151,0
8,8,2920,15733,98,165,0
9,9,3285,15659,96,170,0
10,10,3650,15630,112,141,0
11,11,4015,15558,97,169,0
12,12,4380,15532,123,149,0
13,13,4745,15468,102,166,0
14,14,5110,15416,107,159,0
15,15,5475,15349,101,168,0
16,16,5840,15305,119,163,0
17,17,6205,15267,141,179,0
18,18,6570,15199,130,198,0
19,19,6935,15143,121,177,0
20,20,7300,15042,121,222,0
