ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16264,50,153,0
1,1,365,16191,63,136,0
2,2,730,16093,64,162,0
3,3,1095,16008,60,145,0
4,4,1460,15965,88,131,0
5,5,1825,15901,82,146,0
6,6,2190,15826,85,160,0
7,7,2555,15766,82,142,0
8,8,2920,15693,77,150,0
9,9,3285,15628,98,163,0
10,10,3650,15603,107,132,0
11,11,4015,15533,93,163,0
12,12,4380,15488,113,158,0
13,13,4745,15458,129,159,0
14,14,5110,15427,135,166,0
15,15,5475,15384,124,167,0
16,16,5840,15342,133,175,0
17,17,6205,15243,101,200,0
18,18,6570,15227,140,156,0
19,19,6935,15166,110,171,0
20,20,7300,15098,119,187,0
