Males,30-39,Widowed,400,300,600,300,300,600,600,600,1700,700,800,600,400,500,500,300,300,400,1100,700,300,200,200,300,300,200,200,200,200,100,100,100,0,100,100,100,200
Males,30-39,Divorced/Separated,1600,1400,1700,1700,2100,2200,2400,2400,3600,2900,3000,3100,3100,3900,4000,4100,3300,4200,5800,4300,4200,4300,4000,5800,5100,6100,5600,5600,7200,6200,6300,5600,5600,5600,5400,5100,3600
Females,30-39,Total,158800,186000,205200,218700,228700,238100,251300,250800,267700,271200,278200,283900,293000,298100,305600,301100,304800,302400,298500,307700,310800,308900,300300,309500,305900,308600,307600,317900,318900,310200,305300,302700,297200,303900,293700,302400,301500
Females,30-39,Single,21300,29200,32300,34500,36300,38400,41100,40100,48400,47500,49300,50200,49300,52000,54000,50400,52800,49500,51400,50900,51500,57900,53100,57200,58200,57600,60500,61600,66800,64300,63600,67800,66800,63900,64300,67000,65200
Females,30-39,Married,132100,152200,166900,177500,184500,192400,203000,202800,209900,215600,220300,224600,235100,236900,242100,241200,244600,244400,236700,247000,250200,242700,238200,241500,237400,241300,235900,243500,238600,233900,229100,225100,219800,227700,220400,226000,224000
Females,30-39,Widowed,2400,2400,2400,2400,2700,2600,2100,3000,3100,2000,2000,2000,1700,1800,1600,1500,1500,1100,1200,1600,1100,1200,1300,1100,1400,1000,700,1100,1000,800,600,500,600,800,500,700,1300
Females,30-39,Divorced/Separated,2900,2200,3600,4300,5100,4700,5100,4900,6300,6000,6700,7100,6900,7500,7900,7900,5900,7400,9300,8200,7900,7100,7600,9600,8900,8700,10600,11700,12500,11200,12000,9400,10100,11500,8600,8800,11100
All,40-49,Total,227100,246200,262000,264000,268100,282300,308500,316700,331500,364300,387300,424600,438600,475800,512700,530800,551900,552200,561600,579800,595500,608900,625700,620300,644700,642300,630600,631100,623900,624500,630400,626000,604100,617200,605400,634500,626700
All,40-49,Single,14100,13400,14000,14900,15600,16700,19600,18600,32900,32200,36500,38600,43300,52600,54400,63200,68100,71500,72700,77400,79400,83800,82700,86300,86000,84400,80600,82300,86300,83000,79800,84900,85500,89900,83400,88300,88900
All,40-49,Married,199200,219800,234300,234600,236900,250700,272400,280300,281500,312900,330500,366100,375100,401700,434000,445600,460900,455300,459100,474500,488600,498200,512200,502700,525100,526300,518300,515500,502300,506300,514800,506600,485200,489100,485300,510500,495600
All,40-49,Widowed,9400,10000,8500,8900,9000,8800,9400,9600,9000,8800,9300,9500,8700,8200,9600,8300,8700,8000,7200,6900,6500,6800,7300,6200,6500,6100,5300,5700,5700,7000,5500,4000,4200,4700,4900,4500,5500
All,40-49,Divorced/Separated,4400,3000,5200,5500,6600,6200,7100,8200,8200,10400,11000,10400,11600,13200,14800,13700,14100,17500,22500,21000,20900,20100,23600,25100,27200,25500,26500,27600,29600,28200,30300,30400,29100,33400,31800,31200,36700
Males,40-49,Total,114300,120900,128800,130400,129100,140000,154900,155800,167500,178400,192200,214500,221300,239200,259400,267600,275400,275600,281800,292400,299200,306900,315500,312600,321200,316000,313500,312600,307800,303900,305900,303300,291400,298000,288600,306000,302700
Males,40-49,Single,8300,7900,7600,7700,7700,8800,10400,9200,16700,14400,17300,18900,20700,24700,26800,31700,31300,34000,36100,38700,40000,43300,44300,43900,44700,43100,42800,42600,43800,40300,38900,41100,40400,42200,39200,40700,43600
Males,40-49,Married,103200,111000,118900,120100,118300,128200,141000,143000,146100,159500,170200,191100,195900,209500,226000,230600,238500,235000,236000,246300,252000,256400,263200,257700,264900,263100,261400,259500,252100,252500,255900,251300,240100,243700,237500,254000,245100
Males,40-49,Widowed,1200,1300,800,1000,900,1100,1300,1000,1800,1000,1300,1700,1400,1300,1800,1300,1400,1100,1400,1200,800,1200,1300,1400,1200,1300,700,1000,1100,1100,1000,900,900,700,1000,900,1300
Males,40-49,Divorced/Separated,1500,800,1600,1600,2100,1900,2200,2500,3000,3500,3400,2900,3400,3800,4700,4000,4300,5500,8200,6200,6400,6000,6800,9600,10300,8500,8500,9600,10800,9900,10000,9900,10000,11400,10900,10400,12600
Females,40-49,Total,112800,125300,133200,133500,138900,142300,153600,160900,164000,185900,195000,210100,217300,236500,253400,263100,276400,276700,279900,287400,296300,302000,310200,307700,323600,326300,317100,318500,316200,320700,324500,322700,312700,319200,316900,328400,324000
Females,40-49,Single,5700,5500,6500,7200,7800,7900,9200,9300,16200,17800,19200,19700,22600,28000,27500,31600,36800,37400,36600,38600,39400,40500,38400,42400,41300,41300,37800,39700,42500,42700,40900,43800,45100,47600,44200,47600,45300
Females,40-49,Married,95900,108900,115500,114600,118600,122500,131400,137300,135300,153300,160300,175000,179300,192200,207900,215000,222400,220400,223200,228200,236700,241800,249000,245000,260100,263200,256900,256000,250200,253700,258900,255200,245100,245400,247800,256400,250500
Females,40-49,Widowed,8200,8700,7700,7900,8100,7700,8100,8600,7200,7800,8000,7800,7200,6900,7800,7000,7300,6900,5800,5700,5700,5600,6000,4800,5300,4800,4500,4800,4600,5900,4500,3100,3400,4000,3900,3600,4200
Females,40-49,Divorced/Separated,2900,2200,3600,3800,4400,4300,4900,5700,5300,6900,7600,7600,8200,9400,10100,9600,9900,12000,14300,14800,14500,14100,16800,15500,16800,17000,17900,18100,18800,18300,20300,20500,19200,22100,20900,20800,24100
All,50-59,Total,159600,181400,184200,192800,202000,203500,208000,224200,217300,243500,253300,255600,261100,254500,258800,287900,303500,318000,330000,344400,385100,413900,440800,458100,500000,514800,518200,531800,556700,577000,585500,599300,614800,616100,621500,592800,615700
All,50-59,Single,6400,5800,6600,6500,8200,7100,7400,8100,13200,12900,13100,11900,13600,15300,18600,18600,22000,23700,26300,28500,37000,41500,43100,47400,52200,55500,55400,60300,64900,65300,63100,70300,75600,73200,75900,74000,75200
All,50-59,Married,129200,150600,155300,159100,165200,169400,173900,188400,177700,201900,210300,212300,215100,213400,210600,241100,253400,263800,272500,282800,314300,338300,360900,370900,404000,414500,418000,426500,443200,464000,475300,479100,489100,488500,487600,467200,485200
All,50-59,Widowed,21200,23000,19700,22700,24300,23300,22700,23100,21900,22100,23800,24100,25700,18400,21300,19900,20100,20500,17700,18900,18900,17900,20200,18700,20200,20200,17700,19000,18600,17900,15800,18400,17000,17600,19600,15300,14800
All,50-59,Divorced/Separated,2800,2000,2600,4500,4300,3800,4000,4600,4400,6600,6100,7200,6700,7400,8400,8300,8000,9900,13500,14100,15000,16100,16700,21100,23500,24600,27200,26000,30000,29600,31300,31600,33100,36900,38400,36400,40500
Males,50-59,Total,82300,93000,93300,95300,101500,100600,101400,109000,108800,122300,126000,125700,127500,126800,129700,143300,150600,158300,164400,173200,194200,207700,222200,227900,254800,259300,260100,266000,279300,286400,291200,295500,302300,308200,307000,296400,306900
Males,50-59,Single,4200,3600,4000,4000,5000,3800,4000,4000,7800,7300,7100,6300,7100,8100,8800,8800,10300,10100,11200,12200,15700,17000,18700,21100,24500,24400,25700,27600,30300,30200,29400,32300,34300,34900,36900,34200,34900
Males,50-59,Married,74200,84900,85900,86000,92700,92200,93200,100900,95700,109600,113400,114100,114600,113500,114700,128400,135000,142200,145700,153100,170300,182300,194900,196300,219000,222800,222700,225800,235000,243800,247900,249100,253900,256500,252700,247900,254500
