Brides,Grooms,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
35-39 Years,25-29 Years,50,39,61,56,50,55,62,68,61,70,67,76,62,55,67,59,73,87,83,109,95,120,126,126,106,97,96,113
35-39 Years,30-34 Years,161,169,192,202,190,192,191,187,176,183,184,200,181,184,216,199,251,284,291,304,319,347,401,370,349,376,393,364
35-39 Years,35-39 Years,298,343,349,392,403,400,369,415,359,385,331,308,301,324,336,428,424,456,517,590,556,631,668,654,734,720,762,780
35-39 Years,40-44 Years,172,172,193,213,245,239,256,257,248,300,250,261,240,230,272,320,291,337,348,381,377,397,396,409,484,504,469,507
35-39 Years,45-49 Years,61,52,73,73,89,87,110,95,86,122,122,107,111,108,136,196,220,179,204,232,224,216,238,201,198,223,207,241
35-39 Years,50-54 Years,24,23,34,28,18,15,42,33,34,50,44,50,39,53,77,98,97,116,100,137,119,147,123,130,110,120,95,73
35-39 Years,55-59 Years,9,7,12,20,13,17,14,13,17,17,14,13,19,24,21,67,46,53,53,64,54,62,65,52,62,63,60,64
35-39 Years,60 Years & Over,7,8,7,9,7,7,8,5,11,11,13,13,8,10,14,22,19,20,28,30,35,47,41,43,37,35,48,56
40-44 Years,Under 20 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
40-44 Years,20-24 Years,0,1,1,1,1,0,3,1,0,1,3,0,1,1,4,2,2,1,7,3,1,5,2,5,3,6,4,1
40-44 Years,25-29 Years,7,9,5,11,8,7,19,8,11,12,13,18,14,11,12,15,15,18,12,23,21,30,18,16,22,25,18,23
40-44 Years,30-34 Years,20,30,31,31,33,27,32,50,44,30,34,31,27,33,31,41,50,38,42,47,50,60,52,60,78,67,66,73
40-44 Years,35-39 Years,49,35,66,56,66,67,72,85,69,96,77,52,65,73,73,82,74,82,90,93,85,140,102,122,131,129,125,139
40-44 Years,40-44 Years,76,74,101,119,104,132,127,125,121,149,148,129,115,128,118,145,142,164,172,150,174,183,225,192,225,233,238,273
