ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16229,24,164,0
1,1,365,16093,10,146,0
2,2,730,15962,13,144,0
3,3,1095,15854,16,124,0
4,4,1460,15724,9,139,0
5,5,1825,15595,16,145,0
6,6,2190,15476,15,134,0
7,7,2555,15354,19,141,0
8,8,2920,15224,27,157,0
9,9,3285,15105,19,138,0
10,10,3650,14958,16,163,0
11,11,4015,14835,25,148,0
12,12,4380,14700,14,149,0
13,13,4745,14550,20,170,0
14,14,5110,14397,22,175,0
15,15,5475,14266,21,152,0
16,16,5840,14119,25,172,0
17,17,6205,13960,12,171,0
18,18,6570,13792,17,185,0
19,19,6935,13648,27,171,0
20,20,7300,13481,12,179,0
