ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16265,52,154,0
1,1,365,16166,64,163,0
2,2,730,16093,78,151,0
3,3,1095,16006,76,163,0
4,4,1460,15945,74,135,0
5,5,1825,15857,78,166,0
6,6,2190,15799,85,143,0
7,7,2555,15722,87,164,0
8,8,2920,15659,100,163,0
9,9,3285,15613,116,162,0
10,10,3650,15562,119,170,0
11,11,4015,15491,86,157,0
12,12,4380,15436,113,168,0
13,13,4745,15343,92,185,0
14,14,5110,15283,119,179,0
15,15,5475,15244,115,154,0
16,16,5840,15175,112,181,0
17,17,6205,15108,128,195,0
18,18,6570,15102,160,166,0
19,19,6935,15073,147,176,0
20,20,7300,15008,128,193,0
