ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16290,60,138,0
1,1,365,16176,46,160,0
2,2,730,16058,43,161,0
3,3,1095,15948,48,158,0
4,4,1460,15849,35,134,0
5,5,1825,15724,31,156,0
6,6,2190,15600,33,157,0
7,7,2555,15493,28,135,0
8,8,2920,15374,32,151,0
9,9,3285,15272,33,135,0
10,10,3650,15131,28,169,0
11,11,4015,14997,26,160,0
12,12,4380,14873,44,168,0
13,13,4745,14766,35,142,0
14,14,5110,14628,36,174,0
15,15,5475,14510,41,159,0
16,16,5840,14382,41,169,0
17,17,6205,14268,39,153,0
18,18,6570,14136,53,185,0
19,19,6935,14027,62,171,0
20,20,7300,13891,60,196,0
