ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16270,39,138,0
1,1,365,16162,36,144,0
2,2,730,16062,27,127,0
3,3,1095,15929,35,168,0
4,4,1460,15781,21,169,0
5,5,1825,15689,45,137,0
6,6,2190,15555,27,161,0
7,7,2555,15432,24,147,0
8,8,2920,15296,28,164,0
9,9,3285,15147,18,167,0
10,10,3650,15010,25,162,0
11,11,4015,14891,29,148,0
12,12,4380,14764,31,158,0
13,13,4745,14664,31,131,0
14,14,5110,14524,43,183,0
15,15,5475,14404,32,152,0
16,16,5840,14267,46,183,0
17,17,6205,14113,27,181,0
18,18,6570,13959,34,188,0
19,19,6935,13794,31,196,0
20,20,7300,13646,39,187,0
