ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16283,54,139,0
1,1,365,16187,59,155,0
2,2,730,16098,50,139,0
3,3,1095,16003,48,143,0
4,4,1460,15932,59,130,0
5,5,1825,15838,47,141,0
6,6,2190,15758,62,142,0
7,7,2555,15676,51,133,0
8,8,2920,15578,61,159,0
9,9,3285,15490,65,153,0
10,10,3650,15407,65,148,0
11,11,4015,15300,59,166,0
12,12,4380,15193,60,167,0
13,13,4745,15108,65,150,0
14,14,5110,15008,82,182,0
15,15,5475,14895,67,180,0
16,16,5840,14814,88,169,0
17,17,6205,14709,73,178,0
18,18,6570,14606,79,182,0
19,19,6935,14508,84,182,0
20,20,7300,14389,66,185,0
