ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16266,51,152,0
1,1,365,16165,79,180,0
2,2,730,16112,97,150,0
3,3,1095,16058,107,161,0
4,4,1460,16014,105,149,0
5,5,1825,15968,99,145,0
6,6,2190,15923,97,142,0
7,7,2555,15893,125,155,0
8,8,2920,15880,112,125,0
9,9,3285,15836,126,170,0
10,10,3650,15808,130,158,0
11,11,4015,15767,130,171,0
12,12,4380,15743,132,156,0
13,13,4745,15716,138,165,0
14,14,5110,15681,132,167,0
15,15,5475,15666,146,161,0
16,16,5840,15624,146,188,0
17,17,6205,15581,141,184,0
18,18,6570,15542,142,181,0
19,19,6935,15505,162,199,0
20,20,7300,15493,158,170,0
