ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16223,11,155,0
1,1,365,16102,13,134,0
2,2,730,15963,8,147,0
3,3,1095,15826,11,148,0
4,4,1460,15696,7,137,0
5,5,1825,15547,12,161,0
6,6,2190,15423,8,132,0
7,7,2555,15273,13,163,0
8,8,2920,15143,9,139,0
9,9,3285,15007,10,146,0
10,10,3650,14890,18,135,0
11,11,4015,14765,19,144,0
12,12,4380,14617,10,158,0
13,13,4745,14468,14,163,0
14,14,5110,14297,8,179,0
15,15,5475,14156,13,154,0
16,16,5840,13991,18,183,0
17,17,6205,13839,16,168,0
18,18,6570,13659,16,196,0
19,19,6935,13486,20,193,0
20,20,7300,13328,15,173,0
