ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16298,65,136,0
1,1,365,16217,64,145,0
2,2,730,16143,73,147,0
3,3,1095,16109,86,120,0
4,4,1460,16066,79,122,0
5,5,1825,15997,73,142,0
6,6,2190,15931,97,163,0
7,7,2555,15871,84,144,0
8,8,2920,15833,114,152,0
9,9,3285,15776,99,156,0
10,10,3650,15740,97,133,0
11,11,4015,15680,109,169,0
12,12,4380,15639,128,169,0
13,13,4745,15594,123,168,0
14,14,5110,15557,122,159,0
15,15,5475,15498,112,171,0
16,16,5840,15416,116,198,0
17,17,6205,15371,141,186,0
18,18,6570,15313,129,187,0
19,19,6935,15258,131,186,0
20,20,7300,15209,134,183,0
