ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16282,54,140,0
1,1,365,16210,55,127,0
2,2,730,16106,53,157,0
3,3,1095,16009,55,152,0
4,4,1460,15911,50,148,0
5,5,1825,15820,66,157,0
6,6,2190,15717,36,139,0
7,7,2555,15619,56,154,0
8,8,2920,15517,60,162,0
9,9,3285,15424,57,150,0
10,10,3650,15349,67,142,0
11,11,4015,15244,58,163,0
12,12,4380,15148,61,157,0
13,13,4745,15050,63,161,0
14,14,5110,14977,87,160,0
15,15,5475,14875,58,160,0
16,16,5840,14781,79,173,0
17,17,6205,14702,72,151,0
18,18,6570,14598,85,189,0
19,19,6935,14499,81,180,0
20,20,7300,14399,81,181,0
