ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16298,65,136,0
1,1,365,16205,58,151,0
2,2,730,16161,65,109,0
3,3,1095,16097,82,146,0
4,4,1460,16034,80,143,0
5,5,1825,15967,83,150,0
6,6,2190,15918,105,154,0
7,7,2555,15870,100,148,0
8,8,2920,15828,105,147,0
9,9,3285,15789,108,147,0
10,10,3650,15757,103,135,0
11,11,4015,15710,111,158,0
12,12,4380,15645,94,159,0
13,13,4745,15616,119,148,0
14,14,5110,15576,110,150,0
15,15,5475,15522,123,177,0
16,16,5840,15471,130,181,0
17,17,6205,15409,126,188,0
18,18,6570,15383,140,166,0
19,19,6935,15339,142,186,0
20,20,7300,15292,125,172,0
