ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16263,62,166,0
1,1,365,16172,79,170,0
2,2,730,16081,65,156,0
3,3,1095,16003,65,143,0
4,4,1460,15929,79,153,0
5,5,1825,15825,61,165,0
6,6,2190,15788,80,117,0
7,7,2555,15691,61,158,0
8,8,2920,15621,73,143,0
9,9,3285,15564,106,163,0
10,10,3650,15487,90,167,0
11,11,4015,15400,85,172,0
12,12,4380,15342,106,164,0
13,13,4745,15264,98,176,0
14,14,5110,15217,112,159,0
15,15,5475,15142,98,173,0
16,16,5840,15033,93,202,0
17,17,6205,14923,86,196,0
18,18,6570,14855,98,166,0
19,19,6935,14790,117,182,0
20,20,7300,14701,106,195,0
