ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16298,65,136,0
1,1,365,16227,77,148,0
2,2,730,16190,88,125,0
3,3,1095,16120,75,145,0
4,4,1460,16055,85,150,0
5,5,1825,15979,76,152,0
6,6,2190,15932,98,145,0
7,7,2555,15889,93,136,0
8,8,2920,15815,90,164,0
9,9,3285,15778,100,137,0
10,10,3650,15731,117,164,0
11,11,4015,15675,98,154,0
12,12,4380,15636,102,141,0
13,13,4745,15607,120,149,0
14,14,5110,15556,114,165,0
15,15,5475,15497,120,179,0
16,16,5840,15465,130,162,0
17,17,6205,15431,121,155,0
18,18,6570,15374,143,200,0
19,19,6935,15348,144,170,0
20,20,7300,15312,147,183,0
