ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16298,65,136,0
1,1,365,16237,70,131,0
2,2,730,16175,79,141,0
3,3,1095,16123,89,141,0
4,4,1460,16077,103,149,0
5,5,1825,15987,77,167,0
6,6,2190,15934,93,146,0
7,7,2555,15877,80,137,0
8,8,2920,15848,108,137,0
9,9,3285,15797,105,156,0
10,10,3650,15745,102,154,0
11,11,4015,15682,99,162,0
12,12,4380,15647,108,143,0
13,13,4745,15604,134,177,0
14,14,5110,15567,126,163,0
15,15,5475,15521,124,170,0
16,16,5840,15496,120,145,0
17,17,6205,15446,120,170,0
18,18,6570,15405,140,181,0
19,19,6935,15364,150,191,0
20,20,7300,15321,135,178,0
