ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16272,66,161,0
1,1,365,16187,74,159,0
2,2,730,16117,78,148,0
3,3,1095,16044,81,154,0
4,4,1460,15961,71,154,0
5,5,1825,15907,78,132,0
6,6,2190,15852,93,148,0
7,7,2555,15785,94,161,0
8,8,2920,15731,92,146,0
9,9,3285,15667,95,159,0
10,10,3650,15605,107,169,0
11,11,4015,15526,87,166,0
12,12,4380,15459,100,167,0
13,13,4745,15378,97,178,0
14,14,5110,15331,111,158,0
15,15,5475,15279,132,184,0
16,16,5840,15254,137,162,0
17,17,6205,15221,139,172,0
18,18,6570,15168,129,182,0
19,19,6935,15106,132,194,0
20,20,7300,15057,143,192,0
