ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16297,63,133,0
1,1,365,16238,68,127,0
2,2,730,16163,68,143,0
3,3,1095,16123,84,124,0
4,4,1460,16045,72,150,0
5,5,1825,15976,88,157,0
6,6,2190,15926,94,144,0
7,7,2555,15874,104,156,0
8,8,2920,15817,97,154,0
9,9,3285,15748,87,156,0
10,10,3650,15704,90,134,0
11,11,4015,15665,111,150,0
12,12,4380,15598,111,178,0
13,13,4745,15601,141,138,0
14,14,5110,15562,117,156,0
15,15,5475,15513,113,162,0
16,16,5840,15454,126,185,0
17,17,6205,15400,139,193,0
18,18,6570,15333,119,186,0
19,19,6935,15300,151,184,0
20,20,7300,15238,150,212,0
