ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16289,65,143,0
1,1,365,16223,63,129,0
2,2,730,16170,75,128,0
3,3,1095,16104,74,140,0
4,4,1460,16047,97,154,0
5,5,1825,15986,83,144,0
6,6,2190,15923,92,155,0
7,7,2555,15865,82,140,0
8,8,2920,15802,94,157,0
9,9,3285,15744,105,163,0
10,10,3650,15710,101,135,0
11,11,4015,15680,107,137,0
12,12,4380,15634,111,157,0
13,13,4745,15577,117,174,0
14,14,5110,15533,123,167,0
15,15,5475,15485,123,171,0
16,16,5840,15417,131,199,0
17,17,6205,15350,119,186,0
18,18,6570,15323,135,162,0
19,19,6935,15279,133,177,0
20,20,7300,15221,130,188,0
