ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16299,81,150,0
1,1,365,16235,65,129,0
2,2,730,16165,73,143,0
3,3,1095,16091,81,155,0
4,4,1460,16030,76,137,0
5,5,1825,15988,92,134,0
6,6,2190,15954,102,136,0
7,7,2555,15901,104,157,0
8,8,2920,15835,87,153,0
9,9,3285,15789,97,143,0
10,10,3650,15691,76,174,0
11,11,4015,15629,106,168,0
12,12,4380,15586,109,152,0
13,13,4745,15573,126,139,0
14,14,5110,15514,126,185,0
15,15,5475,15451,124,187,0
16,16,5840,15416,113,148,0
17,17,6205,15382,135,169,0
18,18,6570,15377,155,160,0
19,19,6935,15305,130,202,0
20,20,7300,15260,132,177,0
