ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16272,59,154,0
1,1,365,16191,47,128,0
2,2,730,16129,61,123,0
3,3,1095,16032,53,150,0
4,4,1460,15934,53,151,0
5,5,1825,15867,72,139,0
6,6,2190,15764,64,167,0
7,7,2555,15669,58,153,0
8,8,2920,15578,64,155,0
9,9,3285,15465,65,178,0
10,10,3650,15360,53,158,0
11,11,4015,15268,65,157,0
12,12,4380,15172,64,160,0
13,13,4745,15081,76,167,0
14,14,5110,14978,73,176,0
15,15,5475,14876,69,171,0
16,16,5840,14773,75,178,0
17,17,6205,14685,69,157,0
18,18,6570,14582,65,168,0
19,19,6935,14491,77,168,0
20,20,7300,14397,73,167,0
