ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16299,81,150,0
1,1,365,16215,67,151,0
2,2,730,16143,70,142,0
3,3,1095,16072,75,146,0
4,4,1460,16005,83,150,0
5,5,1825,15966,99,138,0
6,6,2190,15920,100,146,0
7,7,2555,15866,98,152,0
8,8,2920,15794,90,162,0
9,9,3285,15754,108,148,0
10,10,3650,15693,87,148,0
11,11,4015,15638,102,157,0
12,12,4380,15599,122,161,0
13,13,4745,15575,114,138,0
14,14,5110,15546,137,166,0
15,15,5475,15516,127,157,0
16,16,5840,15470,133,179,0
17,17,6205,15388,129,211,0
18,18,6570,15337,137,188,0
19,19,6935,15280,136,193,0
20,20,7300,15240,146,186,0
