ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,49,138,0
1,1,365,16195,54,138,0
2,2,730,16111,62,146,0
3,3,1095,16020,69,160,0
4,4,1460,15960,91,151,0
5,5,1825,15907,85,138,0
6,6,2190,15845,89,151,0
7,7,2555,15800,87,132,0
8,8,2920,15728,84,156,0
9,9,3285,15661,86,153,0
10,10,3650,15577,87,171,0
11,11,4015,15532,108,153,0
12,12,4380,15493,121,160,0
13,13,4745,15450,101,144,0
14,14,5110,15380,112,182,0
15,15,5475,15312,118,186,0
16,16,5840,15259,130,183,0
17,17,6205,15193,127,193,0
18,18,6570,15135,134,192,0
19,19,6935,15064,141,212,0
20,20,7300,15010,140,194,0
