ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,61,149,0
1,1,365,16178,56,157,0
2,2,730,16082,77,173,0
3,3,1095,16020,84,146,0
4,4,1460,15952,82,150,0
5,5,1825,15875,81,158,0
6,6,2190,15824,88,139,0
7,7,2555,15758,106,172,0
8,8,2920,15718,103,143,0
9,9,3285,15661,93,150,0
10,10,3650,15591,105,175,0
11,11,4015,15526,94,159,0
12,12,4380,15458,107,175,0
13,13,4745,15375,104,187,0
14,14,5110,15315,102,162,0
15,15,5475,15256,123,182,0
16,16,5840,15229,124,151,0
17,17,6205,15154,120,195,0
18,18,6570,15131,143,166,0
19,19,6935,15105,149,175,0
20,20,7300,15054,131,182,0
