ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16299,81,150,0
1,1,365,16240,74,133,0
2,2,730,16169,86,157,0
3,3,1095,16111,90,148,0
4,4,1460,16048,76,139,0
5,5,1825,15993,81,136,0
6,6,2190,15922,94,165,0
7,7,2555,15849,86,159,0
8,8,2920,15800,91,140,0
9,9,3285,15742,112,170,0
10,10,3650,15714,97,125,0
11,11,4015,15648,91,157,0
12,12,4380,15579,103,172,0
13,13,4745,15544,112,147,0
14,14,5110,15484,113,173,0
15,15,5475,15454,124,154,0
16,16,5840,15420,125,159,0
17,17,6205,15360,118,178,0
18,18,6570,15320,134,174,0
19,19,6935,15256,124,188,0
20,20,7300,15232,138,162,0
