ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16254,23,137,0
1,1,365,16129,14,139,0
2,2,730,16014,19,134,0
3,3,1095,15896,19,137,0
4,4,1460,15791,10,115,0
5,5,1825,15640,12,163,0
6,6,2190,15526,7,121,0
7,7,2555,15401,19,144,0
8,8,2920,15248,16,169,0
9,9,3285,15101,16,163,0
10,10,3650,14964,12,149,0
11,11,4015,14812,12,164,0
12,12,4380,14658,8,162,0
13,13,4745,14501,13,170,0
14,14,5110,14340,18,179,0
15,15,5475,14181,15,174,0
16,16,5840,14039,22,164,0
17,17,6205,13895,13,157,0
18,18,6570,13723,10,182,0
19,19,6935,13529,13,207,0
20,20,7300,13357,17,189,0
