ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,65496,615,589,0
1,1,365,65587,647,556,0
2,2,730,65629,662,620,0
3,3,1095,65721,649,557,0
4,4,1460,65834,637,524,0
5,5,1825,65929,663,568,0
6,6,2190,66010,699,618,0
7,7,2555,66185,745,570,0
8,8,2920,66277,674,582,0
9,9,3285,66414,732,595,0
10,10,3650,66481,702,635,0
11,11,4015,66651,790,620,0
12,12,4380,66778,769,642,0
13,13,4745,66857,773,694,0
14,14,5110,67044,859,672,0
15,15,5475,67185,834,693,0
16,16,5840,67392,876,669,0
17,17,6205,67496,851,747,0
18,18,6570,67658,885,723,0
19,19,6935,67845,917,730,0
20,20,7300,67942,866,769,0
