ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16299,63,131,0
1,1,365,16217,62,144,0
2,2,730,16142,71,146,0
3,3,1095,16049,65,158,0
4,4,1460,15989,93,153,0
5,5,1825,15925,89,153,0
6,6,2190,15870,76,131,0
7,7,2555,15832,107,145,0
8,8,2920,15771,81,142,0
9,9,3285,15729,121,163,0
10,10,3650,15678,108,159,0
11,11,4015,15630,115,163,0
12,12,4380,15598,122,154,0
13,13,4745,15558,122,162,0
14,14,5110,15491,113,180,0
15,15,5475,15425,107,173,0
16,16,5840,15379,134,180,0
17,17,6205,15333,130,176,0
18,18,6570,15289,114,158,0
19,19,6935,15221,122,190,0
20,20,7300,15129,113,205,0
