ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,32772,307,270,0
1,1,365,32830,337,279,0
2,2,730,32858,332,304,0
3,3,1095,32865,305,298,0
4,4,1460,32886,330,309,0
5,5,1825,32996,367,257,0
6,6,2190,33004,332,324,0
7,7,2555,33047,345,302,0
8,8,2920,33090,341,298,0
9,9,3285,33159,388,319,0
10,10,3650,33269,383,273,0
11,11,4015,33299,373,343,0
12,12,4380,33404,400,295,0
13,13,4745,33458,406,352,0
14,14,5110,33578,454,334,0
15,15,5475,33650,421,349,0
16,16,5840,33741,422,331,0
17,17,6205,33805,416,352,0
18,18,6570,33835,423,393,0
19,19,6935,33938,448,345,0
20,20,7300,34028,456,366,0
