ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16260,49,156,0
1,1,365,16213,72,119,0
2,2,730,16134,72,151,0
3,3,1095,16063,79,150,0
4,4,1460,15992,94,165,0
5,5,1825,15937,88,143,0
6,6,2190,15899,112,150,0
7,7,2555,15832,88,155,0
8,8,2920,15777,96,151,0
9,9,3285,15724,87,140,0
10,10,3650,15674,117,167,0
11,11,4015,15631,105,148,0
12,12,4380,15577,115,169,0
13,13,4745,15523,117,171,0
14,14,5110,15492,124,155,0
15,15,5475,15417,119,194,0
16,16,5840,15379,132,170,0
17,17,6205,15332,122,169,0
18,18,6570,15260,118,190,0
19,19,6935,15229,133,164,0
20,20,7300,15153,110,186,0
