ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16294,72,145,0
1,1,365,16227,87,154,0
2,2,730,16163,88,152,0
3,3,1095,16107,90,146,0
4,4,1460,16062,97,142,0
5,5,1825,16042,121,141,0
6,6,2190,16036,124,130,0
7,7,2555,16013,125,148,0
8,8,2920,15987,142,168,0
9,9,3285,15954,114,147,0
10,10,3650,15922,137,169,0
11,11,4015,15900,131,153,0
12,12,4380,15894,154,160,0
13,13,4745,15874,131,151,0
14,14,5110,15818,121,177,0
15,15,5475,15780,125,163,0
16,16,5840,15736,153,197,0
17,17,6205,15719,159,176,0
18,18,6570,15700,165,184,0
19,19,6935,15678,154,176,0
20,20,7300,15644,157,191,0
