ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16264,50,153,0
1,1,365,16197,67,134,0
2,2,730,16127,66,136,0
3,3,1095,16077,90,140,0
4,4,1460,15993,80,164,0
5,5,1825,15940,86,139,0
6,6,2190,15881,83,142,0
7,7,2555,15836,88,133,0
8,8,2920,15791,91,136,0
9,9,3285,15726,98,163,0
10,10,3650,15688,120,158,0
11,11,4015,15618,93,163,0
12,12,4380,15568,106,156,0
13,13,4745,15527,121,162,0
14,14,5110,15479,108,156,0
15,15,5475,15461,130,148,0
16,16,5840,15399,111,173,0
17,17,6205,15364,129,164,0
18,18,6570,15318,152,198,0
19,19,6935,15271,139,186,0
20,20,7300,15222,129,178,0
