ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16290,64,143,0
1,1,365,16210,61,141,0
2,2,730,16119,69,160,0
3,3,1095,16043,63,139,0
4,4,1460,15964,66,145,0
5,5,1825,15882,65,147,0
6,6,2190,15826,84,140,0
7,7,2555,15752,80,154,0
8,8,2920,15684,82,150,0
9,9,3285,15605,84,163,0
10,10,3650,15539,79,145,0
11,11,4015,15471,80,148,0
12,12,4380,15402,86,155,0
13,13,4745,15304,87,185,0
14,14,5110,15227,96,173,0
15,15,5475,15139,96,184,0
16,16,5840,15047,89,181,0
17,17,6205,14951,86,182,0
18,18,6570,14879,86,158,0
19,19,6935,14789,92,182,0
20,20,7300,14697,92,184,0
