ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16258,25,135,0
1,1,365,16149,28,137,0
2,2,730,16043,22,128,0
3,3,1095,15914,17,146,0
4,4,1460,15785,18,147,0
5,5,1825,15650,14,149,0
6,6,2190,15535,22,137,0
7,7,2555,15397,24,162,0
8,8,2920,15270,22,149,0
9,9,3285,15134,19,155,0
10,10,3650,15001,22,155,0
11,11,4015,14875,25,151,0
12,12,4380,14736,29,168,0
13,13,4745,14604,37,169,0
14,14,5110,14455,24,173,0
15,15,5475,14298,24,181,0
16,16,5840,14167,25,156,0
17,17,6205,14000,24,191,0
18,18,6570,13833,31,198,0
19,19,6935,13671,26,188,0
20,20,7300,13505,32,198,0
