ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16303,69,134,0
1,1,365,16249,64,118,0
2,2,730,16192,84,141,0
3,3,1095,16131,76,137,0
4,4,1460,16040,64,155,0
5,5,1825,15944,74,170,0
6,6,2190,15891,76,129,0
7,7,2555,15820,78,149,0
8,8,2920,15762,85,143,0
9,9,3285,15729,95,128,0
10,10,3650,15682,98,145,0
11,11,4015,15606,98,174,0
12,12,4380,15540,97,163,0
13,13,4745,15485,112,167,0
14,14,5110,15445,121,161,0
15,15,5475,15348,104,201,0
16,16,5840,15285,124,187,0
17,17,6205,15217,120,188,0
18,18,6570,15162,117,172,0
19,19,6935,15102,129,189,0
20,20,7300,15068,136,170,0
