ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16238,14,145,0
1,1,365,16104,14,148,0
2,2,730,15969,13,148,0
3,3,1095,15847,14,136,0
4,4,1460,15714,10,143,0
5,5,1825,15585,16,145,0
6,6,2190,15434,10,161,0
7,7,2555,15310,15,139,0
8,8,2920,15172,12,150,0
9,9,3285,15027,16,161,0
10,10,3650,14890,21,158,0
11,11,4015,14757,13,146,0
12,12,4380,14633,12,136,0
13,13,4745,14473,9,169,0
14,14,5110,14287,11,197,0
15,15,5475,14138,11,160,0
16,16,5840,13986,21,173,0
17,17,6205,13852,14,148,0
18,18,6570,13686,21,187,0
19,19,6935,13504,14,196,0
20,20,7300,13343,14,175,0
