ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16270,53,151,0
1,1,365,16189,76,157,0
2,2,730,16124,80,145,0
3,3,1095,16064,89,149,0
4,4,1460,15985,82,161,0
5,5,1825,15928,101,158,0
6,6,2190,15879,106,155,0
7,7,2555,15875,119,123,0
8,8,2920,15851,123,147,0
9,9,3285,15808,121,164,0
10,10,3650,15764,118,162,0
11,11,4015,15723,107,148,0
12,12,4380,15685,136,174,0
13,13,4745,15670,124,139,0
14,14,5110,15645,135,160,0
15,15,5475,15614,147,178,0
16,16,5840,15637,160,137,0
17,17,6205,15619,176,194,0
18,18,6570,15597,150,172,0
19,19,6935,15545,154,206,0
20,20,7300,15499,145,191,0
