ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,49,138,0
1,1,365,16197,65,147,0
2,2,730,16121,66,142,0
3,3,1095,16029,65,157,0
4,4,1460,15982,78,125,0
5,5,1825,15901,79,160,0
6,6,2190,15845,81,137,0
7,7,2555,15784,89,150,0
8,8,2920,15740,101,145,0
9,9,3285,15711,129,158,0
10,10,3650,15629,104,186,0
11,11,4015,15578,115,166,0
12,12,4380,15535,106,149,0
13,13,4745,15502,117,150,0
14,14,5110,15438,113,177,0
15,15,5475,15382,131,187,0
16,16,5840,15361,130,151,0
17,17,6205,15334,143,170,0
18,18,6570,15281,133,186,0
19,19,6935,15221,141,201,0
20,20,7300,15147,112,186,0
