ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16243,7,133,0
1,1,365,16107,11,147,0
2,2,730,15981,10,136,0
3,3,1095,15844,10,147,0
4,4,1460,15723,9,130,0
5,5,1825,15581,10,152,0
6,6,2190,15434,11,158,0
7,7,2555,15294,18,158,0
8,8,2920,15136,9,167,0
9,9,3285,14991,14,159,0
10,10,3650,14829,8,170,0
11,11,4015,14691,9,147,0
12,12,4380,14555,20,156,0
13,13,4745,14391,9,173,0
14,14,5110,14211,16,196,0
15,15,5475,14044,15,182,0
16,16,5840,13900,13,157,0
17,17,6205,13749,14,165,0
18,18,6570,13597,11,163,0
19,19,6935,13416,10,191,0
20,20,7300,13243,14,187,0
