ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,65,154,0
1,1,365,16210,72,141,0
2,2,730,16126,61,145,0
3,3,1095,16072,73,127,0
4,4,1460,16001,70,141,0
5,5,1825,15933,68,136,0
6,6,2190,15841,60,152,0
7,7,2555,15781,68,128,0
8,8,2920,15715,81,147,0
9,9,3285,15643,72,144,0
10,10,3650,15576,79,146,0
11,11,4015,15486,62,152,0
12,12,4380,15381,70,175,0
13,13,4745,15299,85,167,0
14,14,5110,15170,77,206,0
15,15,5475,15062,81,189,0
16,16,5840,14990,87,159,0
17,17,6205,14894,100,196,0
18,18,6570,14811,91,174,0
19,19,6935,14733,92,170,0
20,20,7300,14638,100,195,0
