ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16273,57,152,0
1,1,365,16185,61,149,0
2,2,730,16119,67,133,0
3,3,1095,16064,68,123,0
4,4,1460,16008,84,140,0
5,5,1825,15940,74,142,0
6,6,2190,15889,70,121,0
7,7,2555,15805,70,154,0
8,8,2920,15737,74,142,0
9,9,3285,15658,80,159,0
10,10,3650,15590,101,169,0
11,11,4015,15504,75,161,0
12,12,4380,15401,75,178,0
13,13,4745,15323,73,151,0
14,14,5110,15231,78,170,0
15,15,5475,15167,101,165,0
16,16,5840,15094,97,170,0
17,17,6205,15007,96,183,0
18,18,6570,14924,100,183,0
19,19,6935,14833,102,193,0
20,20,7300,14756,106,183,0
