ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16292,61,137,0
1,1,365,16195,55,152,0
2,2,730,16105,64,154,0
3,3,1095,16024,69,150,0
4,4,1460,15946,66,144,0
5,5,1825,15841,47,152,0
6,6,2190,15763,55,133,0
7,7,2555,15684,62,141,0
8,8,2920,15619,79,144,0
9,9,3285,15537,70,152,0
10,10,3650,15477,79,139,0
11,11,4015,15388,73,162,0
12,12,4380,15320,91,159,0
13,13,4745,15259,84,145,0
14,14,5110,15178,89,170,0
15,15,5475,15072,77,183,0
16,16,5840,14997,87,162,0
17,17,6205,14891,90,196,0
18,18,6570,14798,94,187,0
19,19,6935,14660,83,221,0
20,20,7300,14546,97,211,0
