ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16289,70,149,0
1,1,365,16216,66,139,0
2,2,730,16144,61,133,0
3,3,1095,16049,56,151,0
4,4,1460,15989,86,146,0
5,5,1825,15911,63,141,0
6,6,2190,15866,79,124,0
7,7,2555,15837,88,117,0
8,8,2920,15779,85,143,0
9,9,3285,15718,92,153,0
10,10,3650,15665,88,141,0
11,11,4015,15622,113,156,0
12,12,4380,15566,119,175,0
13,13,4745,15498,98,166,0
14,14,5110,15419,116,195,0
15,15,5475,15372,125,172,0
16,16,5840,15327,122,167,0
17,17,6205,15265,145,207,0
18,18,6570,15182,107,190,0
19,19,6935,15136,134,180,0
20,20,7300,15093,141,184,0
