ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16264,50,153,0
1,1,365,16192,74,146,0
2,2,730,16126,71,137,0
3,3,1095,16051,63,138,0
4,4,1460,15990,88,149,0
5,5,1825,15927,85,148,0
6,6,2190,15850,85,162,0
7,7,2555,15791,94,153,0
8,8,2920,15741,104,154,0
9,9,3285,15693,96,144,0
10,10,3650,15627,101,167,0
11,11,4015,15571,125,181,0
12,12,4380,15500,103,174,0
13,13,4745,15449,109,160,0
14,14,5110,15402,114,161,0
15,15,5475,15369,116,149,0
16,16,5840,15287,91,173,0
17,17,6205,15224,117,180,0
18,18,6570,15160,118,182,0
19,19,6935,15103,136,193,0
20,20,7300,15034,137,206,0
