ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,37751,284,252,0
1,1,365,37810,308,249,0
2,2,730,37821,270,259,0
3,3,1095,37848,262,235,0
4,4,1460,37853,282,277,0
5,5,1825,37857,277,273,0
6,6,2190,37900,296,253,0
7,7,2555,37942,303,261,0
8,8,2920,37980,305,267,0
9,9,3285,38034,323,269,0
10,10,3650,38072,336,298,0
11,11,4015,38105,337,304,0
12,12,4380,38159,351,297,0
13,13,4745,38182,332,309,0
14,14,5110,38232,371,321,0
15,15,5475,38285,379,326,0
16,16,5840,38294,349,340,0
17,17,6205,38253,311,352,0
18,18,6570,38260,358,351,0
19,19,6935,38280,411,391,0
20,20,7300,38292,360,348,0
