ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16280,64,151,0
1,1,365,16216,74,138,0
2,2,730,16139,66,143,0
3,3,1095,16067,73,145,0
4,4,1460,15982,72,157,0
5,5,1825,15949,92,125,0
6,6,2190,15909,94,134,0
7,7,2555,15832,78,155,0
8,8,2920,15779,91,144,0
9,9,3285,15724,94,149,0
10,10,3650,15701,117,140,0
11,11,4015,15653,112,160,0
12,12,4380,15607,104,150,0
13,13,4745,15538,110,179,0
14,14,5110,15460,101,179,0
15,15,5475,15385,115,190,0
16,16,5840,15323,116,178,0
17,17,6205,15261,122,184,0
18,18,6570,15191,107,177,0
19,19,6935,15137,119,173,0
20,20,7300,15078,137,196,0
