ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16285,69,153,0
1,1,365,16209,72,148,0
2,2,730,16152,85,142,0
3,3,1095,16079,77,150,0
4,4,1460,16007,83,155,0
5,5,1825,15957,77,127,0
6,6,2190,15866,72,163,0
7,7,2555,15810,79,135,0
8,8,2920,15775,104,139,0
9,9,3285,15707,75,143,0
10,10,3650,15655,87,139,0
11,11,4015,15590,91,156,0
12,12,4380,15515,110,185,0
13,13,4745,15464,111,162,0
14,14,5110,15397,104,171,0
15,15,5475,15350,114,161,0
16,16,5840,15282,113,181,0
17,17,6205,15229,113,166,0
18,18,6570,15161,102,170,0
19,19,6935,15082,126,205,0
20,20,7300,15009,128,201,0
