ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,27424,344,279,0
1,1,365,27503,350,271,0
2,2,730,27595,356,264,0
3,3,1095,27731,392,256,0
4,4,1460,27810,369,290,0
5,5,1825,27905,367,272,0
6,6,2190,28008,371,268,0
7,7,2555,28115,400,293,0
8,8,2920,28207,385,293,0
9,9,3285,28337,415,285,0
10,10,3650,28437,410,310,0
11,11,4015,28523,398,312,0
12,12,4380,28613,384,294,0
13,13,4745,28697,412,328,0
14,14,5110,28785,399,311,0
15,15,5475,28889,379,275,0
16,16,5840,28960,383,312,0
17,17,6205,29068,458,350,0
18,18,6570,29187,450,331,0
19,19,6935,29304,427,310,0
20,20,7300,29367,400,337,0
