ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,49,138,0
1,1,365,16187,63,155,0
2,2,730,16120,74,141,0
3,3,1095,16061,76,135,0
4,4,1460,15988,79,152,0
5,5,1825,15925,81,144,0
6,6,2190,15887,90,128,0
7,7,2555,15794,78,171,0
8,8,2920,15761,100,133,0
9,9,3285,15704,93,150,0
10,10,3650,15660,111,155,0
11,11,4015,15612,113,161,0
12,12,4380,15566,113,159,0
13,13,4745,15515,115,166,0
14,14,5110,15449,122,188,0
15,15,5475,15375,119,193,0
16,16,5840,15329,127,173,0
17,17,6205,15262,132,199,0
18,18,6570,15197,116,181,0
19,19,6935,15163,147,181,0
20,20,7300,15117,142,188,0
