ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,37719,265,265,0
1,1,365,37719,250,250,0
2,2,730,37719,227,227,0
3,3,1095,37719,229,229,0
4,4,1460,37719,252,252,0
5,5,1825,37719,267,267,0
6,6,2190,37719,268,268,0
7,7,2555,37719,287,287,0
8,8,2920,37719,269,269,0
9,9,3285,37719,262,262,0
10,10,3650,37719,285,285,0
11,11,4015,37719,286,286,0
12,12,4380,37719,317,317,0
13,13,4745,37719,290,290,0
14,14,5110,37719,323,323,0
15,15,5475,37719,329,329,0
16,16,5840,37719,359,359,0
17,17,6205,37719,337,337,0
18,18,6570,37719,350,350,0
19,19,6935,37719,400,400,0
20,20,7300,37719,398,398,0
21,21,7665,37719,451,451,0
22,22,8030,37719,385,385,0
23,23,8395,37719,400,400,0
24,24,8760,37719,408,408,0
25,25,9125,37719,420,420,0
26,26,9490,37719,449,449,0
27,27,9855,37719,434,434,0
28,28,10220,37719,454,454,0
29,29,10585,37719,512,512,0
30,30,10950,37719,448,448,0
31,31,11315,37719,486,486,0
32,32,11680,37719,497,497,0
33,33,12045,37719,512,512,0
34,34,12410,37719,527,527,0
35,35,12775,37719,566,566,0
36,36,13140,37719,539,539,0
37,37,13505,37719,492,492,0
38,38,13870,37719,532,532,0
39,39,14235,37719,520,520,0
40,40,14600,37719,513,513,0
41,41,14965,37719,530,530,0
42,42,15330,37719,491,491,0
43,43,15695,37719,522,522,0
44,44,16060,37719,499,499,0
45,45,16425,37719,480,480,0
46,46,16790,37719,477,477,0
47,47,17155,37719,515,515,0
48,48,17520,37719,524,524,0
49,49,17885,37719,444,444,0
50,50,18250,37719,482,482,0
51,51,18615,37719,508,508,0
52,52,18980,37719,503,503,0
53,53,19345,37719,452,452,0
54,54,19710,37719,526,526,0
55,55,20075,37719,499,499,0
56,56,20440,37719,509,509,0
57,57,20805,37719,499,499,0
58,58,21170,37719,507,507,0
59,59,21535,37719,530,530,0
60,60,21900,37719,553,553,0
61,61,22265,37719,530,530,0
62,62,22630,37719,506,506,0
63,63,22995,37719,513,513,0
64,64,23360,37719,518,518,0
65,65,23725,37719,554,554,0
66,66,24090,37719,557,557,0
67,67,24455,37719,547,547,0
68,68,24820,37719,572,572,0
69,69,25185,37719,606,606,0
70,70,25550,37719,568,568,0
71,71,25915,37719,566,566,0
72,72,26280,37719,512,512,0
73,73,26645,37719,594,594,0
74,74,27010,37719,524,524,0
75,75,27375,37719,515,515,0
76,76,27740,37719,510,510,0
77,77,28105,37719,534,534,0
78,78,28470,37719,526,526,0
79,79,28835,37719,518,518,0
80,80,29200,37719,516,516,0
81,81,29565,37719,496,496,0
82,82,29930,37719,484,484,0
83,83,30295,37719,443,443,0
84,84,30660,37719,431,431,0
85,85,31025,37719,434,434,0
86,86,31390,37719,373,373,0
87,87,31755,37719,441,441,0
88,88,32120,37719,423,423,0
89,89,32485,37719,370,370,0
90,90,32850,37719,380,380,0
91,91,33215,37719,388,388,0
92,92,33580,37719,386,386,0
93,93,33945,37719,369,369,0
94,94,34310,37719,331,331,0
95,95,34675,37719,325,325,0
96,96,35040,37719,352,352,0
97,97,35405,37719,389,389,0
98,98,35770,37719,366,366,0
99,99,36135,37719,352,352,0
100,100,36500,37642,302,379,0
101,101,36865,37592,325,375,0
102,102,37230,37528,302,366,0
103,103,37595,37371,288,445,0
104,104,37960,37302,329,398,0
105,105,38325,37185,280,397,0
106,106,38690,37076,313,422,0
107,107,39055,36908,293,461,0
108,108,39420,36759,302,451,0
109,109,39785,36598,263,424,0
110,110,40150,36437,293,454,0
111,111,40515,36284,274,427,0
112,112,40880,36066,259,477,0
113,113,41245,35926,271,411,0
114,114,41610,35759,267,434,0
115,115,41975,35568,284,475,0
116,116,42340,35339,243,472,0
117,117,42705,35131,265,473,0
118,118,43070,34851,238,518,0
119,119,43435,34601,219,469,0
120,120,43800,34288,176,489,0
