ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16288,77,156,0
1,1,365,16231,86,143,0
2,2,730,16206,102,127,0
3,3,1095,16163,115,158,0
4,4,1460,16145,107,125,0
5,5,1825,16114,118,149,0
6,6,2190,16088,125,151,0
7,7,2555,16075,136,149,0
8,8,2920,16071,138,142,0
9,9,3285,16062,162,171,0
10,10,3650,16051,160,171,0
11,11,4015,16067,161,145,0
12,12,4380,16034,140,173,0
13,13,4745,16017,162,179,0
14,14,5110,16027,175,165,0
15,15,5475,16021,151,157,0
16,16,5840,16016,160,165,0
17,17,6205,15991,160,185,0
18,18,6570,15984,158,165,0
19,19,6935,15972,185,197,0
20,20,7300,15947,171,196,0
