ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16271,52,148,0
1,1,365,16199,76,148,0
2,2,730,16118,65,146,0
3,3,1095,16067,94,145,0
4,4,1460,16014,81,134,0
5,5,1825,15955,84,143,0
6,6,2190,15879,75,151,0
7,7,2555,15804,85,160,0
8,8,2920,15749,96,151,0
9,9,3285,15685,77,141,0
10,10,3650,15622,79,142,0
11,11,4015,15565,90,147,0
12,12,4380,15505,101,161,0
13,13,4745,15429,112,188,0
14,14,5110,15384,117,162,0
15,15,5475,15332,118,170,0
16,16,5840,15276,122,178,0
17,17,6205,15213,123,186,0
18,18,6570,15155,117,175,0
19,19,6935,15091,126,190,0
20,20,7300,15015,116,192,0
