ind,time,age,male,female
0,0,0,28,30
1,0,1,145,123
2,0,2,137,150
3,0,3,147,114
4,0,4,162,160
5,0,5,179,148
6,0,6,140,135
7,0,7,129,145
8,0,8,147,155
9,0,9,136,135
10,0,10,151,132
11,0,11,124,154
12,0,12,147,156
13,0,13,145,145
14,0,14,146,142
15,0,15,141,149
16,0,16,137,140
17,0,17,136,139
18,0,18,139,143
19,0,19,127,145
20,0,20,130,136
21,0,21,75,72
22,0,22,86,85
23,0,23,87,79
24,0,24,96,80
25,0,25,83,80
26,0,26,67,91
27,0,27,100,84
28,0,28,100,94
29,0,29,89,88
30,0,30,101,98
31,0,31,116,107
32,0,32,97,105
33,0,33,98,111
34,0,34,97,111
35,0,35,107,100
36,0,36,118,99
37,0,37,96,104
38,0,38,98,109
39,0,39,131,89
40,0,40,115,115
41,0,41,108,99
42,0,42,93,96
43,0,43,116,96
44,0,44,91,105
45,0,45,92,102
46,0,46,125,90
47,0,47,94,110
48,0,48,109,94
49,0,49,74,102
50,0,50,85,86
51,0,51,152,150
52,0,52,133,149
53,0,53,139,136
54,0,54,129,119
55,0,55,110,122
56,0,56,105,107
57,0,57,111,101
58,0,58,86,105
59,0,59,103,81
60,0,60,82,91
61,0,61,70,74
62,0,62,67,73
63,0,63,68,78
64,0,64,73,69
65,0,65,66,72
66,0,66,70,53
67,0,67,73,53
68,0,68,67,61
69,0,69,57,48
70,0,70,56,61
71,0,71,49,45
72,0,72,50,46
73,0,73,48,43
74,0,74,27,47
75,0,75,47,30
76,0,76,32,31
77,0,77,26,34
78,0,78,33,35
79,0,79,19,27
80,0,80,28,19
81,0,81,25,17
82,0,82,16,22
83,0,83,18,15
84,0,84,14,14
85,0,85,5,12
86,0,86,16,9
87,0,87,10,11
88,0,88,10,12
89,0,89,11,8
90,0,90,12,11
91,0,91,5,13
92,0,92,12,8
93,0,93,10,5
94,0,94,7,4
95,0,95,3,3
96,0,96,2,2
97,0,97,5,3
98,0,98,3,4
99,0,99,2,2
100,0,100,2,0
101,0,101,0,0
102,1,0,28,33
103,1,1,28,30
104,1,2,145,123
105,1,3,137,150
106,1,4,147,114
107,1,5,162,160
108,1,6,178,148
109,1,7,140,135
110,1,8,129,145
111,1,9,147,155
112,1,10,136,135
113,1,11,151,132
114,1,12,124,154
115,1,13,147,156
116,1,14,145,145
117,1,15,146,142
118,1,16,141,149
119,1,17,137,140
120,1,18,136,139
121,1,19,138,143
122,1,20,127,145
123,1,21,130,136
124,1,22,75,72
125,1,23,86,85
126,1,24,87,79
127,1,25,96,80
128,1,26,83,80
129,1,27,67,91
130,1,28,100,84
131,1,29,100,94
132,1,30,89,88
133,1,31,100,98
134,1,32,116,107
135,1,33,96,105
136,1,34,98,111
137,1,35,97,111
138,1,36,107,99
139,1,37,118,99
140,1,38,95,104
141,1,39,98,109
142,1,40,131,89
143,1,41,115,115
144,1,42,108,99
145,1,43,93,96
146,1,44,116,96
147,1,45,90,105
148,1,46,92,102
149,1,47,125,90
150,1,48,94,109
151,1,49,107,93
152,1,50,74,102
153,1,51,85,86
154,1,52,151,149
155,1,53,132,149
156,1,54,138,136
157,1,55,126,116
158,1,56,109,122
159,1,57,102,107
160,1,58,107,100
161,1,59,84,103
162,1,60,102,80
163,1,61,82,91
164,1,62,69,72
165,1,63,67,73
166,1,64,65,78
167,1,65,70,69
168,1,66,65,71
169,1,67,68,51
170,1,68,71,52
171,1,69,66,61
172,1,70,56,47
173,1,71,54,58
174,1,72,47,45
175,1,73,48,45
176,1,74,45,41
177,1,75,25,47
178,1,76,45,28
179,1,77,27,31
180,1,78,26,32
181,1,79,32,35
182,1,80,15,27
183,1,81,25,18
184,1,82,23,16
185,1,83,15,20
186,1,84,17,13
187,1,85,14,14
188,1,86,4,11
189,1,87,16,7
190,1,88,9,11
191,1,89,10,11
192,1,90,10,8
193,1,91,9,10
194,1,92,4,11
195,1,93,9,7
196,1,94,7,5
197,1,95,7,2
198,1,96,2,1
199,1,97,1,0
200,1,98,4,3
201,1,99,1,4
202,1,100,1,1
203,1,101,0,0
204,2,0,41,34
205,2,1,28,33
206,2,2,28,30
207,2,3,145,123
208,2,4,137,150
209,2,5,147,114
210,2,6,162,160
211,2,7,178,148
212,2,8,139,135
213,2,9,129,145
214,2,10,147,154
215,2,11,136,135
216,2,12,151,132
217,2,13,124,154
218,2,14,147,156
219,2,15,145,145
220,2,16,146,141
221,2,17,141,149
222,2,18,137,140
223,2,19,135,139
224,2,20,138,143
225,2,21,127,145
226,2,22,130,136
227,2,23,75,72
228,2,24,86,85
