ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16301,70,136,0
1,1,365,16209,65,157,0
2,2,730,16120,72,161,0
3,3,1095,16037,79,162,0
4,4,1460,15995,101,143,0
5,5,1825,15949,112,158,0
6,6,2190,15908,123,164,0
7,7,2555,15874,126,160,0
8,8,2920,15835,134,173,0
9,9,3285,15789,123,169,0
10,10,3650,15753,122,158,0
11,11,4015,15728,132,157,0
12,12,4380,15714,131,145,0
13,13,4745,15662,137,189,0
14,14,5110,15643,147,166,0
15,15,5475,15632,164,175,0
16,16,5840,15575,145,202,0
17,17,6205,15540,151,186,0
18,18,6570,15508,144,176,0
19,19,6935,15485,165,188,0
20,20,7300,15464,175,196,0
