ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16272,55,150,0
1,1,365,16176,57,153,0
2,2,730,16077,52,151,0
3,3,1095,15991,61,147,0
4,4,1460,15915,79,155,0
5,5,1825,15826,60,149,0
6,6,2190,15767,73,132,0
7,7,2555,15668,69,168,0
8,8,2920,15594,57,131,0
9,9,3285,15521,71,144,0
10,10,3650,15413,72,180,0
11,11,4015,15323,60,150,0
12,12,4380,15237,66,152,0
13,13,4745,15153,72,156,0
14,14,5110,15042,67,178,0
15,15,5475,14954,63,151,0
16,16,5840,14865,85,174,0
17,17,6205,14755,84,194,0
18,18,6570,14653,83,185,0
19,19,6935,14562,86,177,0
20,20,7300,14430,68,200,0
