ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16292,59,135,0
1,1,365,16207,71,156,0
2,2,730,16143,68,132,0
3,3,1095,16064,74,153,0
4,4,1460,16015,79,128,0
5,5,1825,15951,87,151,0
6,6,2190,15870,80,161,0
7,7,2555,15785,70,155,0
8,8,2920,15709,81,157,0
9,9,3285,15607,73,175,0
10,10,3650,15551,87,143,0
11,11,4015,15505,100,146,0
12,12,4380,15437,97,165,0
13,13,4745,15391,103,149,0
14,14,5110,15333,105,163,0
15,15,5475,15287,95,141,0
16,16,5840,15225,115,177,0
17,17,6205,15144,102,183,0
18,18,6570,15096,118,166,0
19,19,6935,15004,92,184,0
20,20,7300,14936,127,195,0
