ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16264,56,159,0
1,1,365,16192,62,134,0
2,2,730,16102,65,155,0
3,3,1095,16005,62,159,0
4,4,1460,15945,79,139,0
5,5,1825,15860,64,149,0
6,6,2190,15764,69,165,0
7,7,2555,15690,76,150,0
8,8,2920,15618,76,148,0
9,9,3285,15556,81,143,0
10,10,3650,15487,101,170,0
11,11,4015,15405,69,151,0
12,12,4380,15348,82,139,0
13,13,4745,15300,89,137,0
14,14,5110,15249,89,140,0
15,15,5475,15163,81,167,0
16,16,5840,15090,111,184,0
17,17,6205,15012,98,176,0
18,18,6570,14912,90,190,0
19,19,6935,14816,106,202,0
20,20,7300,14755,114,175,0
