ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16237,24,156,0
1,1,365,16117,14,134,0
2,2,730,16014,17,120,0
3,3,1095,15900,11,125,0
4,4,1460,15769,20,151,0
5,5,1825,15670,31,130,0
6,6,2190,15530,21,161,0
7,7,2555,15406,18,142,0
8,8,2920,15268,13,151,0
9,9,3285,15141,17,144,0
10,10,3650,15010,13,144,0
11,11,4015,14863,19,166,0
12,12,4380,14721,24,166,0
13,13,4745,14604,21,138,0
14,14,5110,14472,17,149,0
15,15,5475,14336,22,158,0
16,16,5840,14176,18,178,0
17,17,6205,14023,22,175,0
18,18,6570,13842,21,202,0
19,19,6935,13664,25,203,0
20,20,7300,13494,33,203,0
