ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16289,63,141,0
1,1,365,16219,61,131,0
2,2,730,16127,63,155,0
3,3,1095,16013,46,160,0
4,4,1460,15929,53,137,0
5,5,1825,15852,65,142,0
6,6,2190,15770,65,147,0
7,7,2555,15694,62,138,0
8,8,2920,15653,88,129,0
9,9,3285,15562,76,167,0
10,10,3650,15487,81,156,0
11,11,4015,15393,68,162,0
12,12,4380,15286,81,188,0
13,13,4745,15192,80,174,0
14,14,5110,15124,88,156,0
15,15,5475,15019,90,195,0
16,16,5840,14887,72,204,0
17,17,6205,14776,75,186,0
18,18,6570,14668,96,204,0
19,19,6935,14574,79,173,0
20,20,7300,14480,76,170,0
