ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16233,21,155,0
1,1,365,16093,12,152,0
2,2,730,15949,10,154,0
3,3,1095,15816,13,146,0
4,4,1460,15673,19,162,0
5,5,1825,15549,14,138,0
6,6,2190,15404,6,151,0
7,7,2555,15263,11,152,0
8,8,2920,15135,14,142,0
9,9,3285,14987,13,161,0
10,10,3650,14849,19,157,0
11,11,4015,14734,14,129,0
12,12,4380,14551,16,199,0
13,13,4745,14392,20,179,0
14,14,5110,14209,15,198,0
15,15,5475,14065,20,164,0
16,16,5840,13929,21,157,0
17,17,6205,13733,18,214,0
18,18,6570,13546,14,201,0
19,19,6935,13392,17,171,0
20,20,7300,13229,14,177,0
