ind,time,age,male,female
0,0,0,32,33
1,0,1,131,131
2,0,2,127,133
3,0,3,138,113
4,0,4,161,170
5,0,5,129,152
6,0,6,135,129
7,0,7,120,169
8,0,8,151,163
9,0,9,150,151
10,0,10,157,153
11,0,11,153,134
12,0,12,131,140
13,0,13,141,151
14,0,14,129,129
15,0,15,141,146
16,0,16,118,141
17,0,17,163,121
18,0,18,118,145
19,0,19,123,133
20,0,20,137,124
21,0,21,78,59
22,0,22,74,83
23,0,23,81,80
24,0,24,70,78
25,0,25,78,80
26,0,26,100,102
27,0,27,95,98
28,0,28,102,101
29,0,29,91,99
30,0,30,104,118
31,0,31,92,103
32,0,32,115,120
33,0,33,88,87
34,0,34,107,123
35,0,35,105,98
36,0,36,110,107
37,0,37,103,111
38,0,38,118,127
39,0,39,114,111
40,0,40,101,123
41,0,41,136,143
42,0,42,113,102
43,0,43,100,117
44,0,44,109,100
45,0,45,107,115
46,0,46,101,98
47,0,47,91,112
48,0,48,107,95
49,0,49,88,89
50,0,50,76,90
51,0,51,129,135
52,0,52,132,145
53,0,53,131,140
54,0,54,125,119
55,0,55,121,100
56,0,56,122,95
57,0,57,89,107
58,0,58,115,112
59,0,59,93,90
60,0,60,86,72
61,0,61,75,74
62,0,62,78,75
63,0,63,75,80
64,0,64,67,74
65,0,65,70,56
66,0,66,60,66
67,0,67,63,63
68,0,68,53,59
69,0,69,45,66
70,0,70,59,44
71,0,71,56,52
72,0,72,28,36
73,0,73,42,32
74,0,74,46,36
75,0,75,47,37
76,0,76,37,31
77,0,77,29,33
78,0,78,34,21
79,0,79,22,28
80,0,80,29,16
81,0,81,22,19
82,0,82,12,21
83,0,83,23,15
84,0,84,15,12
85,0,85,18,15
86,0,86,9,12
87,0,87,7,13
88,0,88,11,6
89,0,89,9,3
90,0,90,8,5
91,0,91,10,10
92,0,92,5,11
93,0,93,4,6
94,0,94,11,5
95,0,95,3,4
96,0,96,4,3
97,0,97,5,4
98,0,98,5,5
99,0,99,2,0
100,0,100,1,1
101,0,101,0,0
102,1,0,27,36
103,1,1,32,33
104,1,2,131,131
105,1,3,127,133
106,1,4,138,113
107,1,5,161,170
108,1,6,129,152
109,1,7,135,129
110,1,8,120,169
111,1,9,151,163
112,1,10,150,151
113,1,11,157,153
114,1,12,153,134
115,1,13,130,140
116,1,14,141,151
117,1,15,129,129
118,1,16,141,146
119,1,17,118,141
120,1,18,163,121
121,1,19,118,145
122,1,20,123,133
123,1,21,137,124
124,1,22,78,59
125,1,23,74,83
126,1,24,81,80
127,1,25,70,77
128,1,26,78,79
129,1,27,100,102
130,1,28,95,98
131,1,29,101,101
132,1,30,91,99
133,1,31,104,118
134,1,32,92,103
135,1,33,115,119
136,1,34,88,87
137,1,35,107,123
138,1,36,105,98
139,1,37,109,107
140,1,38,103,111
141,1,39,117,127
142,1,40,114,111
143,1,41,101,123
144,1,42,136,143
145,1,43,113,102
146,1,44,99,117
147,1,45,109,100
148,1,46,107,115
149,1,47,100,98
150,1,48,91,112
151,1,49,107,95
152,1,50,88,88
153,1,51,75,90
154,1,52,129,135
155,1,53,130,145
156,1,54,130,140
157,1,55,124,119
158,1,56,121,100
159,1,57,121,94
160,1,58,87,107
161,1,59,115,111
162,1,60,93,88
163,1,61,86,72
164,1,62,74,73
165,1,63,78,74
166,1,64,74,80
167,1,65,65,72
168,1,66,68,55
169,1,67,59,64
170,1,68,62,63
171,1,69,53,58
172,1,70,41,62
173,1,71,57,43
174,1,72,54,52
175,1,73,25,34
176,1,74,39,31
177,1,75,43,36
178,1,76,44,35
179,1,77,34,31
180,1,78,25,31
181,1,79,32,21
182,1,80,20,27
183,1,81,25,16
184,1,82,19,19
185,1,83,10,20
186,1,84,19,14
187,1,85,14,10
188,1,86,16,14
189,1,87,7,9
190,1,88,4,12
191,1,89,10,5
192,1,90,5,3
193,1,91,5,5
194,1,92,9,8
195,1,93,4,9
196,1,94,3,5
197,1,95,10,5
198,1,96,2,4
199,1,97,4,3
200,1,98,5,3
201,1,99,4,2
202,1,100,1,0
203,1,101,0,0
204,2,0,45,29
205,2,1,27,36
206,2,2,32,33
207,2,3,131,131
208,2,4,127,133
209,2,5,138,113
210,2,6,160,170
211,2,7,129,152
212,2,8,135,128
213,2,9,120,169
214,2,10,151,163
215,2,11,150,151
216,2,12,157,153
217,2,13,153,134
218,2,14,130,140
219,2,15,141,151
220,2,16,129,129
221,2,17,141,146
222,2,18,118,141
223,2,19,162,121
224,2,20,118,145
225,2,21,123,133
226,2,22,136,124
227,2,23,78,59
228,2,24,74,83
229,2,25,81,80
230,2,26,70,77
231,2,27,78,79
232,2,28,100,102
233,2,29,95,98
234,2,30,101,101
235,2,31,90,99
236,2,32,104,118
237,2,33,92,102
238,2,34,115,119
239,2,35,88,87
240,2,36,107,123
241,2,37,105,98
242,2,38,109,107
243,2,39,103,111
244,2,40,117,127
245,2,41,114,111
246,2,42,101,123
247,2,43,136,143
248,2,44,112,102
249,2,45,99,117
250,2,46,109,100
251,2,47,107,115
252,2,48,100,98
253,2,49,91,112
254,2,50,107,94
255,2,51,86,88
256,2,52,74,90
257,2,53,128,135
258,2,54,129,144
259,2,55,128,140
260,2,56,124,119
261,2,57,120,100
262,2,58,121,94
263,2,59,86,106
264,2,60,115,110
265,2,61,92,87
266,2,62,86,72
267,2,63,74,73
268,2,64,76,74
269,2,65,73,80
270,2,66,65,70
271,2,67,65,54
272,2,68,58,62
273,2,69,61,63
274,2,70,51,56
275,2,71,39,62
276,2,72,55,41
277,2,73,53,50
278,2,74,23,33
279,2,75,36,28
280,2,76,41,34
281,2,77,41,32
282,2,78,30,29
283,2,79,23,30
284,2,80,31,21
285,2,81,18,26
286,2,82,23,15
287,2,83,17,17
288,2,84,9,19
289,2,85,16,12
290,2,86,14,8
291,2,87,14,13
292,2,88,7,5
293,2,89,3,11
294,2,90,8,5
295,2,91,4,3
